"PTS","MP","FG","X3P","FT","FT.","Age","FG.","AST","Pos1"
22.3,34,8.3,3.4,2.4,0.853,26,0.468,2.1,"SG"
6.6,20,3,0,0.5,0.613,27,0.551,0.7,"C"
3.8,17.1,1.5,0.3,0.5,0.61,22,0.377,2.4,"PG"
4.6,12.3,1.6,0.3,1.1,0.78,31,0.407,0.5,"PF"
18.1,32.8,6.7,1.7,3,0.786,21,0.45,1.5,"PF"
3.4,14.2,1.3,0.2,0.6,0.789,23,0.445,1.3,"SF"
10.1,26.2,3.6,2.4,0.6,0.905,35,0.464,1.6,"SG"
22.4,37.4,7.1,3.2,5,0.819,30,0.464,7,"PG"
6.3,15.6,2.7,0,0.8,0.771,26,0.521,1.5,"C"
2.8,12,1.1,0.2,0.4,0.765,28,0.41,0.3,"SF"
0.9,3.1,0.3,0.3,0.1,0.5,24,0.286,0.1,"PF"
25.2,35.1,9.3,2.5,4.1,0.905,24,0.473,5.8,"PG"
17.3,32.4,6.9,0.3,3.1,0.812,31,0.477,1.9,"PF"
6,21,2.1,0.8,0.9,0.843,28,0.398,0.8,"PF"
7.9,20.2,2.8,1.6,0.7,0.797,25,0.38,1.3,"PG"
2.9,14.3,1.3,0,0.4,0.697,27,0.458,0.9,"PF"
6.3,14.4,2.6,0.5,0.6,0.889,34,0.439,1.2,"SG"
26.4,37.8,9.9,1.7,4.8,0.674,32,0.548,8.7,"SF"
17.5,24.6,5.3,2,5,0.88,30,0.429,3,"SG"
6.1,22.3,2.4,0.5,0.7,0.678,30,0.505,0.5,"SF"
4.4,19.1,1.8,0.1,0.8,0.657,24,0.66,0.7,"C"
5.1,12.8,2,0.5,0.7,0.676,36,0.47,1,"PF"
4.8,15.7,1.7,1.3,0.2,0.733,27,0.402,0.5,"SF"
7.6,26.5,2.9,0.9,0.8,0.73,31,0.387,1.3,"SF"
3.6,9,1.3,0.4,0.7,0.789,21,0.412,0.5,"SG"
10.2,26.4,3.9,1,1.5,0.865,24,0.457,4.2,"SG"
5.4,17.1,2,0.4,1,0.806,27,0.374,2.6,"PG"
3.8,7.5,1.5,0.4,0.4,0.8,20,0.452,0.5,"SG"
7.5,18.7,2.5,1.3,1.2,0.804,39,0.39,2.7,"SG"
19.5,34.2,7.2,1.4,3.8,0.837,32,0.459,4.6,"C"
2.7,10.3,1.1,0.2,0.4,0.529,33,0.368,2.3,"PG"
10.8,31.2,4.8,0,1.3,0.648,32,0.579,1.5,"C"
10.5,24,3.6,1.4,2,0.893,30,0.429,2,"SG"
14,32.5,5.3,1.5,1.8,0.784,27,0.418,2,"SF"
